I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
2.583249206542968750e+02,1.901827850341796875e+02,-2.762398529052734375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.600966796875000000e+02,1.903462677001953125e+02,-2.681338119506835938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.613515014648437500e+02,1.915579681396484375e+02,-2.615191078186035156e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.628135375976562500e+02,1.931993560791015625e+02,-2.558224868774414062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.645791931152343750e+02,1.954703063964843750e+02,-2.514710235595703125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.657820739746093750e+02,1.974527893066406250e+02,-2.460493469238281250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.666976318359375000e+02,1.992879943847656250e+02,-2.400812721252441406e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.674417724609375000e+02,1.999610748291015625e+02,-2.507358741760253906e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.681063537597656250e+02,2.006319122314453125e+02,-2.621726799011230469e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.684673461914062500e+02,2.017798614501953125e+02,-2.703268623352050781e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.695864562988281250e+02,2.030960845947265625e+02,-2.768032646179199219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.717059631347656250e+02,2.046343688964843750e+02,-2.810657501220703125e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.739019470214843750e+02,2.073877258300781250e+02,-2.844207763671875000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.761326904296875000e+02,2.106934356689453125e+02,-2.873632812500000000e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.765728759765625000e+02,2.146703796386718750e+02,-2.899474334716796875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.767048339843750000e+02,2.190964660644531250e+02,-2.920482444763183594e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.760311279296875000e+02,2.251572113037109375e+02,-2.923033332824707031e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.753763122558593750e+02,2.303738250732421875e+02,-2.911106681823730469e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.747440185546875000e+02,2.345857391357421875e+02,-2.881948661804199219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.742616271972656250e+02,2.370471496582031250e+02,-2.825912094116210938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.738395996093750000e+02,2.388037414550781250e+02,-2.759053039550781250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.719685363769531250e+02,2.414033660888671875e+02,-2.674368095397949219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.702091064453125000e+02,2.440404205322265625e+02,-2.596187400817871094e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.689901733398437500e+02,2.467143249511718750e+02,-2.542261123657226562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.669030761718750000e+02,2.495862731933593750e+02,-2.468474578857421875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.638830871582031250e+02,2.526710052490234375e+02,-2.373347473144531250e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.591326293945312500e+02,2.539615783691406250e+02,-2.279468917846679688e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.537690582275390625e+02,2.546165161132812500e+02,-2.186032485961914062e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.490113830566406250e+02,2.528461151123046875e+02,-2.138951873779296875e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.443039398193359375e+02,2.507546844482421875e+02,-2.085254287719726562e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.397367706298828125e+02,2.477439575195312500e+02,-2.011098480224609375e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.358582916259765625e+02,2.439372100830078125e+02,-1.911080551147460938e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.326481628417968750e+02,2.393579254150390625e+02,-1.785964775085449219e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.304880065917968750e+02,2.351155700683593750e+02,-1.382314109802246094e+01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.286790771484375000e+02,2.309727783203125000e+02,-8.947650909423828125e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.281609954833984375e+02,2.266070861816406250e+02,-5.140490055084228516e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.275911254882812500e+02,2.220316772460937500e+02,-1.667907476425170898e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.268858337402343750e+02,2.169077911376953125e+02,9.296234846115112305e-01,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.263074951171875000e+02,2.101141052246093750e+02,3.031229972839355469e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
2.258403778076171875e+02,2.018571472167968750e+02,4.698253154754638672e+00,nan,nan,nan,nan,nan,nan,nan,nan,nan
